objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois096,ferdinand_brertrams_offices.pdf,Ferdinand Bertrams' associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Ferdinand Bertams held from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Assoctiatons; Offices; Ferdinand; Bertams; 1932; 1945,,,,,application/pdf,,,,ferdinand_brertrams_offices,image,/objects/ferdinand_brertrams_offices.pdf,/objects/small/ferdinand_brertrams_offices_sm.jpg,/objects/thumbs/ferdinand_brertrams_offices_th.jpg,,
dubois097,helmuth_borgwardts_offices.pdf,Helmuth Borgwardt's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Helmuth Borgwardt between 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Helmuth; Borgwardt; 1932; 1945; Typed; Handwritten;,,,,,application/pdf,,,,helmuth_borgwardts_offices,image,/objects/helmuth_borgwardts_offices.pdf,/objects/small/helmuth_borgwardts_offices_sm.jpg,/objects/thumbs/helmuth_borgwardts_offices_th.jpg,,
dubois098,walter_duerrfelds_offices.pdf,Walter Duerrfeld's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Walter Duerrfeld between 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Walter; Duerrfeld; 1932; 1945,,,,,application/pdf,,,,walter_duerrfelds_offices,image,/objects/walter_duerrfelds_offices.pdf,/objects/small/walter_duerrfelds_offices_sm.jpg,/objects/thumbs/walter_duerrfelds_offices_th.jpg,,
dubois099,gunther_frank_fahles_offices.pdf,Gunther Frank-Fahie's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Gunther Frank-Fahie from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Gunther; Frank; Fahie,,,,,application/pdf,,,,gunther_frank_fahles_offices,image,/objects/gunther_frank_fahles_offices.pdf,/objects/small/gunther_frank_fahles_offices_sm.jpg,/objects/thumbs/gunther_frank_fahles_offices_th.jpg,,
dubois100,heinrich_gattineau_offices.pdf,Heinrich Gattineau's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Heinrich Gattineau from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Heinrich; Gattineau; 1932; 1945; ,,,,,application/pdf,,,,heinrich_gattineau_offices,image,/objects/heinrich_gattineau_offices.pdf,/objects/small/heinrich_gattineau_offices_sm.jpg,/objects/thumbs/heinrich_gattineau_offices_th.jpg,,
dubois101,ulrich_harerlands_offices.pdf,Ulrich Haberland's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Ulrich Haberland between 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Ulrich; Haberland; Handwritten; Notes,,,,,application/pdf,,,,ulrich_harerlands_offices,image,/objects/ulrich_harerlands_offices.pdf,/objects/small/ulrich_harerlands_offices_sm.jpg,/objects/thumbs/ulrich_harerlands_offices_th.jpg,,
dubois102,karl_von_heiders_offices.pdf,Karl von Heider's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Karl von Heider from 1932 - 1945. Document is typed with handwritten notes and edits.,2,2-6,229,List; Associations; Offices; Karl; von; Heider; 1932; 1945,,,,,application/pdf,,,,karl_von_heiders_offices,image,/objects/karl_von_heiders_offices.pdf,/objects/small/karl_von_heiders_offices_sm.jpg,/objects/thumbs/karl_von_heiders_offices_th.jpg,,
dubois103,erich_von_der_heydes_offices.pdf,Erich von der Heyde's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Erich von der Heyde from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Erich; Von; Heyde,,,,,application/pdf,,,,erich_von_der_heydes_offices,image,/objects/erich_von_der_heydes_offices.pdf,/objects/small/erich_von_der_heydes_offices_sm.jpg,/objects/thumbs/erich_von_der_heydes_offices_th.jpg,,
dubois104,kurt_krugers_offices.pdf,Kurt Kruger's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Kurt Kruger from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices; Kurt; Kruger; 1932; 1945,,,,,application/pdf,,,,kurt_krugers_offices,image,/objects/kurt_krugers_offices.pdf,/objects/small/kurt_krugers_offices_sm.jpg,/objects/thumbs/kurt_krugers_offices_th.jpg,,
dubois105,hans_kuglers_offices.pdf,Hans Kugler's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Hans Kugler between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; 1932; 1945;,,,,,application/pdf,,,,hans_kuglers_offices,image,/objects/hans_kuglers_offices.pdf,/objects/small/hans_kuglers_offices_sm.jpg,/objects/thumbs/hans_kuglers_offices_th.jpg,,
